,REGION,COD_BNA,NOMBRE,ESTADO,ESTE_84,NORTE_84,COD_CUEN,COD_SUBC,COD_SSUBC,NOM_SSUBC,NOM_CUEN,NOM_SUBC,CINE_REG,COD_REG,NOM_REG,CINE_PROV,COD_PROV,NOM_PROV,CINE_COM,COD_COM,NOM_COM
131,9,09105002-1,TRAIGUEN,Vigentes,705308,5763168,091,0910,09105,Rio Traiguen Entre Estero Quilapan y Rio Quino,Rio Imperial,Rio Lumaco,09,9,La Araucanía,092,92,Malleco,09210,9210,Traiguén
132,9,09102003-3,LUMACO,Vigentes,683790,5773967,091,0910,09102,Rio Lumaco entre Rio Puren y Rio Pichilumaco,Rio Imperial,Rio Lumaco,09,9,La Araucanía,092,92,Malleco,09207,9207,Lumaco
133,9,09104003-4,LAS MERCEDES (VICTORIA),Vigentes,742508,5763242,091,0910,09107,Rio Quino Entre Estero Pua y Rio Traiguen,Rio Imperial,Rio Lumaco,09,9,La Araucanía,092,92,Malleco,09211,9211,Victoria
134,8,08930000-2,TIRUA,Vigentes,631737,5754866,089,0893,08930,Rio Tirua,Costeras e Islas entre R.Paicavi y Limite Region,Rio Tirua,08,8,Biobío,082,82,Arauco,08207,8207,Tirúa
135,9,08350002-6,LAGUNA MALLECO,Vigentes,253888,5766571,083,0835,08350,Rio Malleco hasta bajo junta Rio Niblinto,Rio Bio-Bio,Rios Malleco y Vergara,09,9,La Araucanía,092,92,Malleco,09203,9203,Curacautín
136,9,09122001-6,CURACAUTIN,Vigentes,247258,5740563,091,0912,09122,Rio Cautin Entre Estero Collico y Bajo Junta Rio Blanco,Rio Imperial,Cautin Alto (hasta antes junta R. Quepe),09,9,La Araucanía,092,92,Malleco,09203,9203,Curacautín
137,9,09123001-1,RIO CAUTIN EN RARI-RUCA,Vigentes,760965,5742237,091,0912,09123,Rio Cautin Entre Rio Blanco y Estero Guacolda,Rio Imperial,Cautin Alto (hasta antes junta R. Quepe),09,9,La Araucanía,092,92,Malleco,09203,9203,Curacautín
138,9,09123002-K,RARI-RUCA,Vigentes,760947,5742801,091,0912,09123,Rio Cautin Entre Rio Blanco y Estero Guacolda,Rio Imperial,Cautin Alto (hasta antes junta R. Quepe),09,9,La Araucanía,092,92,Malleco,09203,9203,Curacautín
139,9,09120003-1,MALALCAHUELLO,Vigentes,275698,5738799,091,0912,09120,Rio Cautin Bajo Junta Estero Lefuco,Rio Imperial,Cautin Alto (hasta antes junta R. Quepe),09,9,La Araucanía,092,92,Malleco,09203,9203,Curacautín
140,9,09113003-3,GALVARINO,Vigentes,693503,5746346,091,0911,09113,Rio Quillen Entre Estero Perquenco y Rio Chol Chol,Rio Imperial,R.  Chol Chol,09,9,La Araucanía,091,91,Cautín,09106,9106,Galvarino
141,9,09112000-3,PERQUENCO,Vigentes,728966,5744488,091,0911,09112,Estero Perquenco,Rio Imperial,R.  Chol Chol,09,9,La Araucanía,091,91,Cautín,09113,9113,Perquenco
142,9,09111002-4,QUILLEN,Vigentes,728005,5739450,091,0911,09111,Rio Quillen Entre Puente Perquenco y Estero Perquenco,Rio Imperial,R.  Chol Chol,09,9,La Araucanía,091,91,Cautín,09113,9113,Perquenco
143,9,09124001-7,LAUTARO,Vigentes,722862,5732790,091,0912,09124,Rio Cautin Entre Arriba Junta Estero Guacolda y Rio Muco,Rio Imperial,Cautin Alto (hasta antes junta R. Quepe),09,9,La Araucanía,091,91,Cautín,09108,9108,Lautaro
144,9,09116001-3,RIO CHOLCHOL EN CHOLCHOL,Vigentes,687429,5724558,091,0911,09116,Rio Chol Chol entre Rio Quillen y Rio Renaco,Rio Imperial,R.  Chol Chol,09,9,La Araucanía,091,91,Cautín,09121,9121,Cholchol
145,9,09140001-4,RIO CAUTIN EN ALMAGRO,Vigentes,677810,5705709,091,0914,09140,Rio Cautin entre Rio Quepe y Rio Chol Chol,Rio Imperial,Rio Cautin entre Rio Quepe y Rio Chol-Chol,09,9,La Araucanía,091,91,Cautín,09111,9111,Nueva Imperial
146,9,09130001-K,CHERQUENCO,Vigentes,760775,5714193,091,0913,09130,Rio Quepe bajo Rio Calbuco,Rio Imperial,Rio Quepe,09,9,La Araucanía,091,91,Cautín,09119,9119,Vilcún
147,9,09131002-3,VILCUN,Vigentes,741760,5715756,091,0913,09131,Rio Quepe Entre Rio Calbuco y Bajo Estero Hunaco,Rio Imperial,Rio Quepe,09,9,La Araucanía,091,91,Cautín,09119,9119,Vilcún
148,9,09129002-2,RIO CAUTIN EN CAJON,Vigentes,717215,5715037,091,0912,09129,Rio Cautin Entre Estero Pumalal y Rio Quepe,Rio Imperial,Cautin Alto (hasta antes junta R. Quepe),09,9,La Araucanía,091,91,Cautín,09119,9119,Vilcún
149,9,09129005-7,PUEBLO NUEVO (TEMUCO),Vigentes,712497,5712269,091,0912,09129,Rio Cautin Entre Estero Pumalal y Rio Quepe,Rio Imperial,Cautin Alto (hasta antes junta R. Quepe),09,9,La Araucanía,091,91,Cautín,09101,9101,Temuco
