OBJECTID|AGNO|RBD|DGV_RBD|NOM_RBD|TIPO_SOST|COD_REG_RB|NOM_REG_RB|COD_PRO_RB|COD_COM_RB|NOM_COM_RB|COD_DEPROV|NOM_DEPROV|TIPO_DEPEN|DIRECCION|NUMERO|REFERENCIA|LATITUD|LONGITUD|MAT_PARV|MAT_BAS_RE|MAT_BAS_AD|MAT_ESP|MAT_MHC_RE|MAT_MHC_AD|MAT_MTP_RE|MAT_MTP_AD|MAT_TOTAL|MAT_HOM_TO|MAT_MUJ_TO|MAT_SI_TOT|CUR_SIM_TO|CUR_COMB_T
10127|2021|13365|5|ESCUELA BASICA MINILLAS|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|CALLE UNICA|0|CALLE UNICA S/N LAS MINILLAS|-30.509649|-70.87338299999999|0|6|0|0|0|0|0|0|6|4|2|0|0|1
10128|2021|790|0|ESCUELA BASICA EL ROMERAL|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|EL ROMERAL|0|CALLE UNICA/N EL ROMERAL.|-30.50922|-70.819862|0|13|0|0|0|0|0|0|13|9|4|0|5|0
10129|2021|749|8|ESCUELA TRANQUE RECOLETA|1|4|COQ|43|4301|OVALLE|42|LIMARÍ|1|LOS ALGARROBOS DE TRANQUE RECOLETA|0|15KM APROXIMADAMENTE DE OVALLE ,CAMINO A RIO HURTADO SE ENCUENTRA LA ESCUELA , LOCALIDAD LOS ALAGARROBOS DE TRANQUE RECOLETA|-30.508920999999997|-71.10466|0|1|0|0|0|0|0|0|1|0|1|0|0|1
10130|2021|753|6|ESC.BAS.JUAN PABLO ARTIGUES PENAFIEL|1|4|COQ|43|4301|OVALLE|42|LIMARÍ|1|DAVID PERRY LANAS|0|DISTANTE 12 KM APROX.DE LA CIUDAD DE OVALLE , SALIDA NORTE,LOCALIDAD DE ESTACION RECOLETA|-30.499491|-71.15141299999999|29|135|0|0|0|0|0|0|164|83|81|0|10|0
10131|2021|780|3|ESCUELA BASICA TABAQUEROS|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|TABAQUEROS|0|TABAQUEROS RIO  HURTADO|-30.473430999999998|-71.034103|0|20|0|0|0|0|0|0|20|9|11|0|0|1
10132|2021|792|7|ESCUELA BASICA ESTANCIA EL SAUCE|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|EL SAUCE|0|EL PUERTO RUTA D545  ACCESO A RUTA D459 EL SAUCE KM. 13|-30.465339999999998|-70.76226|0|3|0|0|0|0|0|0|3|1|2|0|0|1
10133|2021|786|2|ESCUELA BASICA LA HUERTA|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|LA HUERTA|0|CAMINO AL ROMERAL S/N|-30.44824|-70.850563|0|4|0|0|0|0|0|0|4|3|1|0|0|1
10134|2021|638|6|ESCUELA DE CAMARONES|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|5|RUTA 5 NORTE|416|RUTA 5 NORTE KM 416 CAMARONES|-30.436290999999997|-71.379044|0|5|0|0|0|0|0|0|5|2|3|0|0|1
10135|2021|784|6|ESCUELA BASICA HUAMPULLA|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|HUAMPULLA|0|CALLE UNICA S/N, HUAMPULLA - COMUNA DE RÍO HURTADO|-30.42984|-70.98281899999999|0|7|0|0|0|0|0|0|7|3|4|0|0|1
10136|2021|789|7|ESCUELA EL ESPINAL DE RIO HURTADO|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|CALLE UNICA EL ESPINAL|0|A 6 KM DE SAMO ALTO, MÁS ESPECÍFICAMENTE DE ILUSTRE MUNICIPALIDAD DE RÍO HURTADO.|-30.412609|-70.905853|0|8|0|0|0|0|0|0|8|3|5|0|0|1
10137|2021|773|0|ESCUELA SAMO ALTO|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|SAMO ALTO|0|CALLE ÚNICA SIN NÚMERO SAMO ALTO|-30.409419999999997|-70.946533|13|63|0|0|0|0|0|0|76|36|40|0|2|4
10138|2021|776|5|ES.BAS.SAN PEDRO DE RIO HURTADO|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|SAN PEDRO|0|SAN PEDRO NORTE -CAMINO AL MONUMENTO NACIONAL PICHASCA.|-30.40204|-70.888046|0|4|0|0|0|0|0|0|4|1|3|0|2|1
10139|2021|774|9|COLEGIO PICHASCA|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|IGNACIO CARRERA PINTO|0|25 METROS DEL RETEN DE CARABINEROS DE PICHASCA (HACIA EL ORIENTE)|-30.394211|-70.871132|17|138|0|0|108|0|0|0|263|133|130|0|12|1
10140|2021|778|1|ESCUELA BASICA LAS BREAS|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|CAMINO PUBLICO LAS BREAS|0|CALLE  ÚNICA  LAS BREAS|-30.38525|-70.597572|0|5|0|0|0|0|0|0|5|2|3|0|0|1
10141|2021|32059|5|ESCUELA ECOLOGICA PEJERREYES|1|4|COQ|43|4301|OVALLE|42|LIMARÍ|1|RUTA D-43|0|PEJERREYES|-30.384719999999998|-71.22254199999999|0|15|0|0|0|0|0|0|15|5|10|0|0|1
