OBJECTID|AGNO|RBD|DGV_RBD|NOM_RBD|TIPO_SOST|COD_REG_RB|NOM_REG_RB|COD_PRO_RB|COD_COM_RB|NOM_COM_RB|COD_DEPROV|NOM_DEPROV|TIPO_DEPEN|DIRECCION|NUMERO|REFERENCIA|LATITUD|LONGITUD|MAT_PARV|MAT_BAS_RE|MAT_BAS_AD|MAT_ESP|MAT_MHC_RE|MAT_MHC_AD|MAT_MTP_RE|MAT_MTP_AD|MAT_TOTAL|MAT_HOM_TO|MAT_MUJ_TO|MAT_SI_TOT|CUR_SIM_TO|CUR_COMB_T
1|2021|8484|0|ESCUELA PUERTO TORO|1|12|MAG|122|12201|CABO DE HORNOS|121|MAGALLANES|1|GABRIELA MISTRAL|24|PUERTO TORO - PUERTO WILLIAMS MEDIO MARITIMO HACIA PUERTO TORO 3 HORAS DE NAVEGACION COMUNA CABO DE HORNOS|-55.083172|-67.076218|0|5|0|0|0|0|0|0|5|4|1|0|4|0
2|2021|8483|2|LICEO BICENTENARIO DONALD MC-INTYRE GRIFFITHS|1|12|MAG|122|12201|CABO DE HORNOS|121|MAGALLANES|1|YELCHO|158|YELCHO N° 158 PUERTO WILLIAMS|-54.934799|-67.605339|55|277|0|0|92|0|0|0|424|212|212|0|15|0
3|2021|24341|8|ESCUELA PAMPA GUANACO|1|12|MAG|123|12303|TIMAUKEL|121|MAGALLANES|1|SECTOR PAMPA GUANACO|0|SECTOR PAMPA GUANACO, TIMAUKEL|-54.052231|-68.802948|0|5|0|0|0|0|0|0|5|0|5|0|0|1
4|2021|8452|2|ESCUELA DE PUERTO HARRIS|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|PUERTO HARRIS - ISLA DAWSON|0|PUERTO HARRIS-ISLA DAWSON|-53.834998999999996|-70.453369|11|41|0|0|0|0|0|0|52|29|23|0|0|2
5|2021|8482|4|ESCUELA IGNACIO CARRERA PINTO|1|12|MAG|123|12303|TIMAUKEL|121|MAGALLANES|1|CAMERON|0|PROVINCIA TIERRA DEL FUEGO    COMUNA TIMAUKEL|-53.63903|-69.64666|3|17|0|0|0|0|0|0|20|11|9|0|2|2
6|2021|8475|1|ESCUELA LIBERTADOR BDO. O´HIGGINS R.|1|12|MAG|123|12301|PORVENIR|121|MAGALLANES|1|CHILOE|606| |-53.296082|-70.37209299999999|61|511|0|0|0|0|0|0|572|295|277|0|20|0
7|2021|40311|3|COLEGIO CAUPOLICAN|1|12|MAG|123|12301|PORVENIR|121|MAGALLANES|2|AVENIDA MANUEL SEÑORET|0|INTERIOR REGIMIENTO REFORZADO Nº11 CAUPOLICÁN,  PORVENIR|-53.295396999999994|-70.354744|0|0|0|0|0|34|0|0|34|34|0|0|2|0
8|2021|16895|5|COLEGIO MARIA AUXILIADORA|1|12|MAG|123|12301|PORVENIR|121|MAGALLANES|2|PADRE MARIO ZAVATTARO|399| |-53.295300000000005|-70.3675|42|247|0|0|0|0|0|0|289|137|152|0|10|0
9|2021|40217|6|ESCUELA ESPECIAL CLUB DE LEONES CRUZ DEL SUR|1|12|MAG|123|12301|PORVENIR|121|MAGALLANES|2|BERNARDO PHILLIPI|42| |-53.293586|-70.369603|0|0|0|26|0|0|0|0|26|16|10|0|2|0
10|2021|8474|3|LICEO POLIVALENTE HERNANDO DE MAGALLANES|1|12|MAG|123|12301|PORVENIR|121|MAGALLANES|1|HERNANDO DE MAGALLANES|618|CALLE MAGALLANES Nº618, ENTRE MUÑOZ GAMERO Y SANTOS MARDONES, LADO SUR Y CALLE ESMERALDA, ENTRE MUÑOZ GAMERO Y SANTOS MARDONES, LADO NORTE.|-53.291278999999996|-70.37312299999999|0|0|0|0|286|39|38|0|363|195|168|0|14|0
11|2021|8448|4|ESCUELA PEDRO SARMIENTO DE GAMBOA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|CAMINO SUR|5.5|CAMINO SUR KM. 5.5|-53.198299|-70.936951|20|154|0|0|0|0|0|0|174|101|73|0|10|0
12|2021|24302|7|ESCUELA GENERAL MANUEL BULNES P.|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|AVENIDA PEDRO AGUIRRE CERDA|35|AV. PEDRO AGUIRRE CERDA ESQUINA CALLE ZENTENO|-53.174350999999994|-70.937737|56|373|0|0|0|0|0|0|429|202|227|0|18|0
13|2021|8434|4|ESCUELA ESPANA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|PASAJE ROBLES|424| |-53.171909|-70.924309|61|312|0|0|0|0|0|0|373|197|176|0|18|0
14|2021|8427|1|LICEO INDUSTRIAL ARMANDO QUEZADA ACHARAN|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|21 DE MAYO|2052|CENTRO, FRENTE  A  LA  COSTANERA LADO  SUR|-53.171378999999995|-70.919434|0|0|0|0|0|0|334|45|379|337|42|0|27|0
15|2021|24305|1|COLEGIO PIERRE FAURE|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|PEREZ DE ARCE|655|ENTRE CHILOE Y COSTANERA 21 DE MAYO  PÉREZ DE ARCE 655 (7º BÁSICO A 4º MEDIO)  BELLAVISTA 697 (1º A 6º BÁSICO)  JOSÉ NOGUEIRA 1775 (PRE ESCOLAR)|-53.16872|-70.91583299999999|67|325|0|0|151|0|0|0|543|265|278|0|18|0
16|2021|40124|2|ESC. ESP. LENG. JOSE GRIMALDI ACOTTO|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|MANUEL SENORET|1857|SEÑORET ENTRE PEREZ DE ARCE Y SERRANO, POBLACIÓN RÍO DE LA MANO|-53.167691|-70.923205|0|0|0|125|0|0|0|0|125|77|48|0|8|0
17|2021|24318|3|ESCUELA PADRE ALBERTO HURTADO CRUCHAGA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|EUSEBIO LILLO|2472|ENTRE CALLES RAMÓN CARNICER Y PABLO DE ROCKA|-53.167179|-70.945503|100|494|0|0|0|0|0|0|594|280|314|0|20|0
18|2021|24311|6|COLEGIO FRANCES|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|21 DE MAYO|1430|SECTOR CENTRO SUR.|-53.16666|-70.91143799999999|48|251|0|0|0|0|0|0|299|154|145|0|13|0
19|2021|8433|6|ESCUELA LIBERTADOR CAP GRAL BDO OHIGGINS|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|CHILOE|1443|CENTRO DE LA CIUDAD|-53.166031|-70.914131|49|353|0|0|0|0|0|0|402|196|206|0|20|0
20|2021|8425|5|LICEO POLIVALENTE MARIA BEHETY DE MENENDEZ|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|ARTURO PRAT|1875|POBLACIÓN 18 DE SEPTIEMBRE|-53.165489|-70.92862699999999|0|0|0|0|178|0|204|0|382|127|255|0|15|0
21|2021|8435|2|ESCUELA DIECIOCHO DE SEPTIEMBRE|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|GASPAR MARIN|140|POB. 18 DE SEPTIEMBRE.PUNTA ARENAS.|-53.165198999999994|-70.92989299999999|44|311|0|0|0|0|0|0|355|186|169|0|18|0
22|2021|16892|0|CENTRO DE ESTUDIO DE LA PATAGONIA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|ROCA|927| |-53.16428|-70.905959|0|0|16|0|0|218|0|0|234|113|121|0|8|0
23|2021|24335|3|ESC. ESP. DE LENGUAJE NUEVO SOL|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|FRANCISCO JAVIER REYNA|182|ESQUINA CALLE MATEO DE TORO Y ZAMBRANO.|-53.163829|-70.929723|0|0|0|162|0|0|0|0|162|98|64|0|12|0
24|2021|8429|8|LICEO LUIS ALBERTO BARRERA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|AVENIDA COLON|1250|AVENIDA COLON ESQUINA QUILLOTA|-53.162608999999996|-70.89787299999999|0|0|0|0|506|0|0|0|506|185|321|0|18|0
25|2021|8430|1|LICEO POLIVALENTE SARA BRAUN|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|AVENIDA COLON|1027|SECTOR CENTRO|-53.162498|-70.901573|0|0|0|0|90|41|51|0|182|42|140|0|11|0
26|2021|8426|3|COLEGIO ANDINO|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|CIRCUNVALACION|2080| |-53.162366|-70.95087199999999|0|0|11|0|0|53|0|0|64|56|8|0|5|0
27|2021|24329|9|LICEO SAN JOSE|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|FAGNANO|550| |-53.161719999999995|-70.91104899999999|98|706|0|0|461|0|0|0|1265|1265|0|0|32|0
28|2021|8424|7|INSTITUTO SUPERIOR DE COMERCIO LICEO BICENTENARIO|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|MAGALLANES|847|ESTA UBICADA EN EL CENTRO DE LA CIUDAD ENTRE AVEND. COLÓN Y JOSÉ MENÉNDEZ|-53.161369|-70.905006|0|59|0|0|0|0|554|69|682|306|376|0|21|0
29|2021|8455|7|LICEO MARIA AUXILIADORA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|AVENIDA COLON|763|AVDA. COLÓN ENTRE BORIES Y MAGALLANES|-53.160858|-70.905998|60|629|0|0|305|0|0|0|994|0|994|0|26|0
30|2021|8463|8|THE BRITISH SCHOOL|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|3|WALDO SEGUEL|454|WALDO SEGUEL 454|-53.160132|-70.911729|136|431|0|0|139|0|0|0|706|379|327|0|15|0
31|2021|24330|2|FUNDACIÓN PARA EL DESARROLLO|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|MARTINEZ DE ALDUNATE|1539|POBLACIÓN 18 DE SEPTIEMBRE|-53.160033|-70.932367|0|0|12|0|0|251|0|0|263|132|131|0|7|0
32|2021|8438|7|ESCUELA REPUBLICA DE CROACIA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|CROACIA|1101|COMERCIO CROSUR|-53.159949999999995|-70.897057|68|476|0|0|0|0|0|0|544|267|277|0|20|0
33|2021|8432|8|CENTRO DE EDUC.INTEGRAL DE ADULTOS CEIA.|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|IGNACIO CARRERA PINTO|781|IGNACIO CARRERA PINTO 781|-53.159551|-70.904254|0|0|43|0|0|271|0|0|314|148|166|0|19|0
34|2021|8457|3|INSTITUTO SAGRADA FAMILIA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|MEJICANA|830| |-53.15844|-70.901337|76|384|0|0|0|0|282|0|742|0|742|0|20|0
35|2021|8443|3|ESCUELA ESPECIAL ROTARIO PAUL HARRIS|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|ANGAMOS|1321| |-53.158409999999996|-70.890681|0|0|0|83|0|0|0|0|83|53|30|0|13|0
36|2021|8458|1|ESCUELA PARTICULAR LA MILAGROSA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|AVENIDA SALVADOR ALLENDE|845|CALLE EUSEBIO LILLO, ESQUINA SALVADOR ALLENDE|-53.158069999999995|-70.940376|140|840|0|0|278|0|0|0|1258|562|696|0|32|0
37|2021|24324|8|GREEN HILL COLLEGE|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|3|MEJICANA|653| |-53.157824|-70.905434|13|139|0|0|35|0|0|0|187|104|83|0|14|0
38|2021|8436|0|ESCUELA PORTUGAL|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|MEJICANA|527|MEJICANA ESQUINA CON CHILOÉ,CENTRO DE LA CIUDAD.|-53.157340999999995|-70.906639|36|258|0|0|0|0|0|0|294|153|141|0|15|0
39|2021|24342|6|ESCUELA ESPECIAL DE LENGUAJE RAYITO DE LUZ|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|AVENIDA SALVADOR ALLENDE|1120|ZONA SUOOESTE DE PUNTA ARENAS  A 2 CUADRAS DE CIRCUNVALACION|-53.15665|-70.943195|0|0|0|58|0|0|0|0|58|31|27|0|4|0
40|2021|8441|7|ESCUELA HERNANDO DE MAGALLANES|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|JOSE GALINDO|1105| |-53.155578999999996|-70.93137399999999|73|470|0|0|0|0|0|0|543|263|280|0|19|0
41|2021|24314|0|COLEGIO CRUZ DEL SUR|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|3|SARMIENTO DE GAMBOA|529| |-53.155463999999995|-70.90512|68|319|0|0|76|0|0|0|463|198|265|0|23|0
42|2021|8454|9|INSTITUTO DON BOSCO|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|MAIPU|615|AVENIDA BULNES CON CALLE MAIPÚ,SECTOR SANTUARIO MARÍA AUXILIADORA.|-53.155418|-70.902687|123|665|0|0|0|0|498|0|1286|1286|0|0|38|0
43|2021|11681|5|COLEGIO MIGUEL DE CERVANTES|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|3|MEJICANA|216| |-53.154892999999994|-70.91160099999999|118|576|0|0|251|0|0|0|945|460|485|0|43|0
44|2021|24327|2|LICEO EXPERIMENTAL UMAG|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|ANGAMOS|17|ANGAMOS ESQUINA ZENTENO|-53.151469999999996|-70.911293|84|401|0|0|355|0|0|0|840|374|466|0|32|0
45|2021|20327|0|ESCUELA ESPECIAL DE LENGUAJE `PASITOS`|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|ROMULO CORREA|521| |-53.15119|-70.90102999999999|0|0|0|94|0|0|0|0|94|66|28|0|8|0
46|2021|24312|4|CENTRO DE CAPAC. LABORAL LEON HUMBERTO SEGUEL|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|ZENTENO|256|BARRIO PRAT.|-53.151095|-70.911881|0|0|0|48|0|0|0|0|48|33|15|0|6|0
47|2021|8437|9|ESC. CAPITAN ARTURO PRAT CHACON|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|ZENTENO|191|ZENTENO ESQUINA CON ANGAMOS.|-53.150661|-70.909843|21|136|0|0|0|0|0|0|157|73|84|0|10|0
48|2021|24331|0|ESCUELA ESPECIAL DE LENGUAJE IERUN TALJ|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|VICENTE REYES|804|POBLACION PLAYA NORTE|-53.150389999999994|-70.894666|0|0|0|65|0|0|0|0|65|39|26|0|6|0
49|2021|40360|1|ESCUELA ESPECIAL MI MUNDO|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|CARLOS CONDELL|77|ZENTENO HACIA EL NORTE|-53.149088|-70.909628|0|0|0|48|0|0|0|0|48|21|27|0|8|0
50|2021|24336|1|ESC. ESP. DE LENGUAJE SANTA LAURA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|LUIS URIBE|346|BARRIO PRAT, ENTRE GENERAL SALVO Y MANUEL AGUILAR|-53.148793999999995|-70.91811799999999|0|0|0|53|0|0|0|0|53|43|10|0|6|0
51|2021|24339|6|ESC. ESP. DE TRASTORNOS DE LA COMUNICACION AL|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|CAPITAN MANUEL ORELLA|129|BARRIO PRAT|-53.148475|-70.911714|0|0|0|78|0|0|0|0|78|60|18|0|10|0
52|2021|11687|4|ESCUELA REPUBLICA ARGENTINA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|MANUEL AGUILAR|1028|AVENIDA EDUARDO FREI CON MANUEL AGUILAR, AL NORPONIENTE DEL RÍO LAS MINAS.|-53.147652|-70.927193|32|200|0|0|0|0|0|0|232|119|113|0|10|0
53|2021|8439|5|ESCUELA JUAN WILLIAMS|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|CORONEL JOSE DE LOS MARDONES|353|SECTOR NORPONIENTE.|-53.143798999999994|-70.90512799999999|78|504|0|0|0|0|0|0|582|291|291|0|20|0
54|2021|24307|8|LICEO JUAN BAUTISTA CONTARDI|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|MANANTIALES|1027| |-53.143024|-70.902008|127|722|0|0|430|0|0|0|1279|547|732|0|36|0
55|2021|24321|3|ESCUELA ESPECIAL CLUB DE LEONES CRUZ DEL SUR|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|AVENIDA EDUARDO FREI|2281| |-53.143004999999995|-70.880704|0|0|0|222|0|0|0|0|222|138|84|0|21|0
56|2021|8444|1|ESCUELA PATAGONIA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|COVADONGA|185|WWW.FACEBOOK.COM/COLEGIOPATAGONIA|-53.142632|-70.91220899999999|60|492|0|0|0|0|0|0|552|292|260|0|18|0
57|2021|24334|5|ESCUELA PARVULARIA JOSH KEE|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|PASAJE EMILIO KOVASEVICH|780|POBLACIÖN CLAUDIO BUSTOS  ENTRE CAP.GUILLERMOS Y ROMULO CORREA.|-53.142548|-70.91326099999999|5|0|0|0|0|0|0|0|5|2|3|0|1|0
58|2021|8442|5|ESCUELA PEDRO PABLO LEMAITRE|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|OVEJERO|265| |-53.1418|-70.90368699999999|119|591|0|0|278|0|0|0|988|502|486|0|28|0
59|2021|24319|1|COLEGIO PUNTA ARENAS|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|3|AVENIDA MANUEL BULNES|1240|FRENTE AL ESTADIO FISCAL|-53.140065|-70.889262|29|206|0|0|131|0|0|0|366|181|185|0|17|0
60|2021|24303|5|LICEO NOBELIUS|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|3|COMODORO ARTURO MERINO BENITEZ|777|FRENTE A UNIVERSIDAD DE MAGALLANES|-53.138864999999996|-70.88041799999999|0|192|0|0|142|0|0|0|334|165|169|0|15|0
61|2021|11678|5|LICEO ADVENTISTA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|JOSE GONZALEZ|229|JOSÉ GONZÁLEZ  229, ENTRE AVENIDAS  BULNES Y ESPAÑA|-53.138690999999994|-70.889107|61|313|0|0|159|0|0|0|533|272|261|0|14|0
62|2021|24338|8|COLEGIO LUTERANO|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|JOSE DAVET|1050|ENRIQUE ABELLO CON JOSE DAVET|-53.138641|-70.89684299999999|59|244|0|0|136|0|0|0|439|224|215|0|16|0
63|2021|11680|7|COLEGIO CHARLES DARWIN|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|MANANTIALES|314| |-53.138351|-70.89771999999999|54|301|0|0|160|0|0|0|515|222|293|0|17|0
64|2021|24316|7|LICEO POLITEC.CARDENAL RAUL SILVA HENRIQUEZ|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|KARUKINKA|140|KARUKINKA 140 SECTOR NORPONIENTE|-53.13623|-70.92302699999999|0|0|0|0|0|0|391|0|391|220|171|0|20|0
65|2021|8464|6|COLEGIO ALEMAN|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|3|AVENIDA EL BOSQUE|398| |-53.131524|-70.889783|122|413|0|0|187|0|0|0|722|346|376|0|30|0
66|2021|24313|2|ESCUELA VILLA LAS NIEVES|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|AVENIDA LOS GENERALES|530|SECTOR NORPONIENTE.|-53.12466|-70.87951699999999|119|541|0|0|0|0|0|0|660|320|340|0|20|0
67|2021|41654|1|AULA HOSPITALARIA HOSPITAL CLÍNICO MAGALLANES|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|AVENIDA LOS FLAMENCOS|1364| |-53.121548999999995|-70.897787|0|3|0|0|3|0|0|0|6|3|3|0|5|0
68|2021|24320|5|TALLER LABORAL DE UNPADE|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|AVENIDA LOS FLAMENCOS|1725|PARCELA D6, DEL HOSPITAL CLÍNICO HACIA CERRO.|-53.121325999999996|-70.901816|0|0|0|9|0|0|0|0|9|6|3|0|2|0
69|2021|8450|6|ESCUELA DELLAMIRA REBECA AGUILAR|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|BARRANCO AMARILLO|8.5|RUTA NORTE  565 - BARRANCO AMARILLO KM 8 1/2 NORTE|-53.097049999999996|-70.879509|14|65|0|0|0|0|0|0|79|45|34|0|0|4
70|2021|8449|2|ESCUELA ELBA OJEDA GOMEZ|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|KM. 13,5 NORTE|0| |-53.057171|-70.859978|39|203|0|0|0|0|0|0|242|124|118|0|10|0
71|2021|8479|4|ESCUELA CERRO SOMBRERO|1|12|MAG|123|12302|PRIMAVERA|121|MAGALLANES|1|AVENIDA BERNARDO O'HIGGINS|1040|CENTRO DE CERRO SOMBRERO, 42 KM. DE PRIMERA ANGOSTURA (ESTRECHO DE MAGALLANES)|-52.776199|-69.291924|9|56|0|0|0|0|0|0|65|36|29|0|8|1
72|2021|8467|0|BERNARDO DE BRUYNE|1|12|MAG|121|12103|RÍO VERDE|121|MAGALLANES|1|RUTA Y-50|40.7|VILLA PONSOMBY, KM 40.7, RUTA Y-50|-52.650558|-71.46315|2|11|0|0|0|0|0|0|13|6|7|0|0|3
73|2021|8468|9|ESCUELA DIEGO PORTALES|1|12|MAG|121|12102|LAGUNA BLANCA|121|MAGALLANES|1|ANTONIO LATORRE|100|LOCALIDAD VILLA TEHUELCHES KILMETRO 100 RUTA 9 NORTE|-52.427260999999994|-71.415176|0|30|0|0|0|0|0|0|30|16|14|0|4|2
74|2021|8470|0|ESCUELA PUNTA DELGADA|1|12|MAG|121|12104|SAN GREGORIO|121|MAGALLANES|1|DON BOSCO|291| ESQ. HERNANDO DE MAGALLANES|-52.316399|-69.688454|5|35|0|0|0|0|0|0|40|28|12|0|10|0
75|2021|24322|1|ESCUELA BASICA RURAL SENO OBSTRUCCION|1|12|MAG|124|12401|NATALES|121|MAGALLANES|1|PHILIPPI|498|LOCALIDAD UBICADA A 75 KM DE PUERTO NATALES|-52.21006|-72.477608|0|7|0|0|0|0|0|0|7|3|4|0|5|0
76|2021|40262|1|ESCUELA ESPECIAL DE LENGUAJE ULTIMA ESPERANZA|1|12|MAG|124|12401|NATALES|121|MAGALLANES|2|OVEJERO|777| |-51.73641|-72.491641|0|0|0|81|0|0|0|0|81|66|15|0|9|0
77|2021|8421|2|LICEO SALESIANO MONSEÑOR FAGNANO|1|12|MAG|124|12401|NATALES|121|MAGALLANES|2|PADRE ROSSA|1456| |-51.736388999999996|-72.49363699999999|125|633|0|0|297|0|0|0|1055|601|454|0|28|0
78|2021|8413|1|ESCUELA CORONEL SANTIAGO BUERAS|1|12|MAG|124|12401|NATALES|121|MAGALLANES|1|CAMILO HENRIQUEZ|661|CAMILO HENRÍQUEZ, ENTRE BLANCO ENCALADA Y BAQUEDANO.|-51.735889|-72.497757|53|268|0|0|0|0|0|0|321|198|123|0|10|0
79|2021|8412|3|ESCUELA LIB. BERNARDO O´HIGGINS R.|1|12|MAG|124|12401|NATALES|121|MAGALLANES|1|ELEUTERIO RAMIREZ|748|ENTRE YUNGAY Y MIRAFLORES|-51.731238999999995|-72.49698599999999|121|482|0|0|0|0|0|0|603|316|287|0|20|0
80|2021|8415|8|ESCUELA CAPITAN JUAN LADRILLERO|1|12|MAG|124|12401|NATALES|121|MAGALLANES|1|SARMIENTO|1484|SECTOR ALTO BARRIO ENDESA|-51.730380999999994|-72.487541|57|448|0|0|0|0|0|0|505|294|211|0|18|0
81|2021|8416|6|ESC. DIF. NICOLAS MLADINIC DOBRONIC|1|12|MAG|124|12401|NATALES|121|MAGALLANES|1|O'HIGGINS|338|FRENTE AL HOSPITAL LOCAL|-51.729732999999996|-72.505493|0|0|0|17|0|0|0|0|17|11|6|0|3|0
82|2021|24317|5|COLEGIO PUERTO NATALES|1|12|MAG|124|12401|NATALES|121|MAGALLANES|2|SIMON BOLIVAR|1463|SIMON BOLIVAR ENTRE DE AGOSTINI Y OVEJERO.|-51.729659999999996|-72.487511|64|273|0|0|124|0|0|0|461|258|203|0|14|0
83|2021|24333|7|ESCUELA ESPECIAL CLUB DE LEONES CRUZ DEL SUR|1|12|MAG|124|12401|NATALES|121|MAGALLANES|2|AVENIDA ESPAÑA|1597|AV. ESPAÑA CON JAVIERA CARRERA|-51.728849|-72.483077|0|0|0|35|0|0|0|0|35|25|10|0|4|0
84|2021|8422|0|LICEO BICENTENARIO MARIA MAZZARELLO|1|12|MAG|124|12401|NATALES|121|MAGALLANES|2|ARTURO PRAT|354|ENTRE CALLE ESMERALDA Y MANUEL BULNES.|-51.727989|-72.50415799999999|65|290|0|0|112|0|0|0|467|1|466|0|14|0
85|2021|8411|5|LICEO BICENTENARIO POLITECNICO LUIS CRUZ MARTINEZ|1|12|MAG|124|12401|NATALES|121|MAGALLANES|1|GOBERNADOR BERNARDO PHILLIPS|474|INGRESO POR LA COSTANERA DE PUERTO NATALES.|-51.7244|-72.505783|0|0|0|0|0|0|321|0|321|197|124|0|14|0
86|2021|24300|0|LICEO GABRIELA MISTRAL|1|12|MAG|124|12401|NATALES|121|MAGALLANES|1|PHILLIPI|430|SECTOR CÉNTRICO - CIUDAD|-51.724109999999996|-72.506813|0|0|0|0|350|0|0|0|350|179|171|0|12|0
87|2021|8417|4|ESCUELA BAUDILIA AVENDANO DE YOUSSUF|1|12|MAG|124|12401|NATALES|121|MAGALLANES|1|PROLONGACION LIBERTAD|0|FRENTE PLAZA POBLACION OCTAVIO CASTRO SAEZ|-51.721432|-72.496353|22|182|0|0|0|0|0|0|204|112|92|0|8|1
88|2021|24332|9|CEIA CARLOS YANEZ MOYA|1|12|MAG|124|12401|NATALES|121|MAGALLANES|1|AVENIDA LIBERTAD|415|POBLACIÓN OCTAVIO CASTRO|-51.720648999999995|-72.49656399999999|0|0|11|0|0|157|0|0|168|73|95|0|7|0
89|2021|8420|4|ESC. DE CONCENTRACION FRONTERIZA DOROTEA|1|12|MAG|124|12401|NATALES|121|MAGALLANES|1|CAMINO INTERNACIONAL RUTA CH-250|0|CAMINO HACIA LOCALIDAD RURAL DE DOROTEA|-51.608008999999996|-72.33363299999999|0|5|0|0|0|0|0|0|5|3|2|0|1|1
90|2021|8423|9|ESC.HOGAR MUN.FRONTERIZA RAMON SERRANO M|1|12|MAG|124|12402|TORRES DEL PAINE|121|MAGALLANES|1|AVENIDA BERNARDO O'HIGGINS|0|VILLA CERRO CASTILLO|-51.255291|-72.345818|0|23|0|0|0|0|0|0|23|15|8|0|0|2
91|2021|24325|6|ESCUELA RURAL CERRO GUIDO|1|12|MAG|124|12402|TORRES DEL PAINE|121|MAGALLANES|1|VILLA CERRO GUIDO|0|VILLA CERRO GUIDO, COMUNA TORRES DEL PAYNE|-50.939999|-72.45491|0|9|0|0|0|0|0|0|9|4|5|0|1|1
92|2021|8419|0|ESC. PROF. MIGUEL S. MONTECINOS C.|1|12|MAG|124|12401|NATALES|121|MAGALLANES|1|VILLA PUERTO EDEN|0|VILLA PUERTO EDÉN|-49.12896|-74.41497799999999|0|12|0|0|0|0|0|0|12|5|7|0|3|1
